pick,net,sta,chan,ptime,stime,source,lat,lon,elv,ptime0,stime0,predict,prob,std
2024T000000013,KS,HTDA,HG,2024-06-11T23:27:20.221259Z,2024-06-11T23:27:43.414483Z,add,34.3908,125.2986,48.0,,,U,0.8901,0.0535
2024T000000013,KS,HWCA,HG,2024-06-11T23:27:30.664703Z,2024-06-11T23:28:02.197313Z,add,38.065,127.7746,287.9,,,U,0.7004,0.2407
2024T000000013,KS,HWDB,HH,2024-06-11T23:27:23.575791Z,2024-06-11T23:27:49.447857Z,add,37.6322,127.3404,71.0,,,D,0.9939,0.0311
2024T000000013,KS,HWSA,HG,2024-06-11T23:27:13.117852Z,2024-06-11T23:27:30.308747Z,add,36.4412,127.9441,321.0,,,U,0.6527,0.0543
2024T000000013,KS,HYDA,HG,2024-06-11T23:27:22.921676Z,2024-06-11T23:27:48.271394Z,add,36.283577,129.019264,287.0,,,D,0.8651,0.1702
2024T000000013,KS,ICN2,EL,2024-06-11T23:27:19.327193Z,2024-06-11T23:27:41.806418Z,add,37.2908,127.4167,128.0,,,D,0.8657,0.0754
2024T000000013,KS,IJAA,HG,2024-06-11T23:27:31.723913Z,2024-06-11T23:28:04.102233Z,add,37.9471,128.3248,335.9,,,U,0.9984,0.0042
2024T000000013,KS,IJBA,HG,2024-06-11T23:27:33.769184Z,2024-06-11T23:28:07.780469Z,add,38.1208,128.3173,462.0,,,U,1.0,1e-04
2024T000000013,KS,IJDB,HH,2024-06-11T23:27:05.281702Z,2024-06-11T23:27:16.502601Z,add,35.1028,126.0651,55.0,,,D,1.0,0.0
2024T000000013,KS,IKSA,HG,2024-06-11T23:26:58.691729Z,2024-06-11T23:27:05.127213Z,add,36.0592,127.0619,86.0,,,D,0.6032,0.1219
2024T000000013,KS,IKSB,HH,2024-06-11T23:26:56.076505Z,2024-06-11T23:27:00.612633Z,add,35.9355,126.9747,66.0,,,D,1.0,0.0
2024T000000013,KS,IMSB,HH,2024-06-11T23:26:58.923126Z,2024-06-11T23:27:05.526641Z,add,35.6124,127.2854,238.0,,,D,1.0,0.0
2024T000000013,KS,IMWB,HH,2024-06-11T23:27:32.006976Z,2024-06-11T23:28:04.611298Z,add,37.237934,129.342076,21.0,,,U,0.9781,0.0224
2024T000000013,KS,INCA,HG,2024-06-11T23:27:20.614438Z,2024-06-11T23:27:44.121650Z,add,37.4777,126.624,108.0,,,D,0.6711,0.1408
2024T000000013,KS,INJA,HG,2024-06-11T23:27:14.056300Z,2024-06-11T23:27:32.325539Z,add,36.993,126.918474,59.0,,,D,0.7752,0.1938
2024T000000013,KS,IPTA,HG,2024-06-11T23:27:14.554822Z,2024-06-11T23:27:33.222736Z,add,36.996887,127.135381,0.0649999999999999,,,D,1.0,1e-04
2024T000000013,KS,ISHB,HH,2024-06-11T23:27:18.818939Z,2024-06-11T23:27:40.892270Z,add,37.348832,126.70386,49.0,,,U,0.6174,0.0608
2024T000000013,KS,IYIB,HH,2024-06-11T23:27:18.466771Z,2024-06-11T23:27:40.258860Z,add,37.2708,127.2317,164.0,,,D,0.9999,0.0006
2024T000000013,KS,IYPA,HG,2024-06-11T23:27:22.312480Z,2024-06-11T23:27:47.175713Z,add,37.491441,127.521814,94.0,,,D,0.9674,0.0341
2024T000000013,KS,JAEA,HG,2024-06-11T23:27:25.487414Z,2024-06-11T23:27:52.885995Z,add,36.8,128.9903,380.0,,,U,1.0,0.0
2024T000000013,KS,JAEB,HH,2024-06-11T23:27:08.994956Z,2024-06-11T23:27:22.912371Z,add,34.879054,126.028758,2.0,,,U,0.9998,0.0004
2024T000000013,KS,JAGA,HG,2024-06-11T23:26:57.432034Z,2024-06-11T23:27:02.952616Z,add,35.3196,126.8107,121.8,,,U,1.0,0.0
2024T000000013,KS,JAHA,HG,2024-06-11T23:27:09.499093Z,2024-06-11T23:27:23.782607Z,add,34.689,126.9194,89.0,,,D,0.9893,0.0147
2024T000000013,KS,JASA,HG,2024-06-11T23:27:02.399930Z,2024-06-11T23:27:11.528374Z,add,35.6571,127.5204,454.0,,,D,1.0,0.0
2024T000000013,KS,JCUA,HG,2024-06-11T23:27:23.742853Z,2024-06-11T23:27:49.748328Z,add,37.2753,128.2694,322.0,,,U,0.9363,0.1264
2024T000000013,KS,JDGB,HH,2024-06-11T23:27:30.960601Z,2024-06-11T23:28:02.729470Z,add,37.690417,128.674248,813.0,,,D,0.9992,0.0018
2024T000000013,KS,JDO2,EL,2024-06-11T23:27:13.571942Z,2024-06-11T23:27:31.284619Z,add,34.473,126.3238,541.0,,,U,1.0,0.0
2024T000000013,KS,JECB,HH,2024-06-11T23:27:21.989579Z,2024-06-11T23:27:46.594953Z,add,37.1595,128.1945,317.0,,,D,0.9597,0.1007
2024T000000013,KS,JEDA,HG,2024-06-11T23:27:06.421844Z,2024-06-11T23:27:18.470690Z,add,35.001844,126.101988,8.0,,,D,1.0,0.0
