net,sta,start,end,lat,lon,elv,digitizer,vel,acc,chan
KS,LIWA,2019-03-18,,36.2482,127.6137,151.0,q330sp,,ES-DH-A,HG
KS,LMGA,2019-03-18,,37.4918,128.8637,554.0,q330sp,,ES-DH-A,HG
KS,MALA,2018-03-09,,35.7445,127.3477,304.0,q330sp,,ES-DH-A,HG
KS,MANA,2019-03-18,,35.0941,126.285,70.4,q330sp,,ES-DH-A,HG
KS,MGY2,2016-12-16,,36.6551667,128.060783,70.4,q330hrs,CMG-40T-1-A,ES-T-A,EL
KS,MJDB,2019-03-18,,34.2074,125.469,47.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,MLGA,2018-03-09,,35.3113,128.997,52.0,q330sp,,ES-DH-A,HG
KS,MMD,2018-03-09,,34.6488,128.5769,128.0,q330hrs,STS-2.5-A,ES-T-A,HH
KS,MND,2015-09-30,,35.8043,126.4242,56.4,q330hrs,STS-2.5-A,ES-T-A,HH
KS,MNDB,2019-03-18,,34.966515,127.160857,168.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,MOGA,2019-03-18,,37.6962,127.5825,126.0,q330sp,,ES-DH-A,HG
KS,MOPB,2018-03-09,,34.8173,126.3812,87.0,q330hrs,CMG-3TB-B,ES-DH-A,HH
KS,MSMB,2021-11-08,,35.689173,126.556217,49.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,MSNA,2018-03-09,,35.5884,128.9539,275.0,q330sp,,ES-DH-A,HG
KS,MUS2,2016-12-16,,37.8862,126.7656,70.8,q330hrs,CMG-40T-1-A,ES-T-A,EL
KS,NACA,2018-03-09,,35.9505,126.591,51.0,q330sp,,ES-DH-A,HG
KS,NAHA,2018-03-09,,34.8167,127.9261,96.0,q330sp,,ES-DH-A,HG
KS,NAJA,2018-03-09,,35.0261,126.8264,67.4,q330sp,,ES-DH-A,HG
KS,NAMB,2018-03-09,,37.7711,128.3863,655.0,q330hrs,CMG-3TB-A,ES-DH-A,HH
KS,NAWB,2012-12-20,,35.42117,127.396272,127.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,NCNA,2018-03-09,,37.8197,128.0919,277.0,q330sp,,ES-DH-A,HG
KS,NGJA,2021-11-13,,34.644516,126.784051,55.0,Centaur,,Titan-PH-A,HG
